tokenizer,display_name,vocab_size,lang,fertility,cpt,compression_ratio,strr,nsl,parity
google/gemma-2-9b,Gemma-2-9B,256000,hi,2.4672561481072117,2.451228531514504,6.230996795135179,0.2848853274385189,0.40795869791142847,1.7727438269356837
google/gemma-2-9b,Gemma-2-9B,256000,de,1.8503145753233134,4.139446721311476,4.216034836065574,0.5174764068507515,0.24157817875795154,1.4218078519921333
google/gemma-2-9b,Gemma-2-9B,256000,tr,2.6237017111260554,3.276178890418414,3.615584082978519,0.1794067100052305,0.30523363755398775,2.2752567557724523
google/gemma-2-9b,Gemma-2-9B,256000,ko,3.140130505709625,1.4163491863252176,3.2981455784029268,0.08784665579119086,0.7060405792970768,2.886954621603904
google/gemma-2-9b,Gemma-2-9B,256000,th,10.934794828555368,2.5294699856485376,7.24729054288118,0.1528948847667229,0.39533973744448575,1.4718479131764877
google/gemma-2-9b,Gemma-2-9B,256000,ru,2.514661500055889,3.2798055126646735,5.930270376819212,0.24348895264354112,0.30489612757176915,4.434263238400466
google/gemma-2-9b,Gemma-2-9B,256000,fr,1.7892221927263074,4.194640222914276,4.347811834125554,0.5485797717016193,0.23839946857354982,0.888775584529099
google/gemma-2-9b,Gemma-2-9B,256000,es,1.676429417465274,4.165882948708674,4.246617955581278,0.572628405297728,0.24004515064686985,1.0068468205987327
google/gemma-2-9b,Gemma-2-9B,256000,pt,1.8024492652204338,4.109131304154633,4.240079982226172,0.5072778166550035,0.2433604394653748,1.6392308252603978
google/gemma-2-9b,Gemma-2-9B,256000,vi,1.892819643001373,3.4816348258117937,4.496421600520494,0.2722720297229626,0.2872213916825224,1.2314808070507683
google/gemma-2-9b,Gemma-2-9B,256000,id,1.9433664259927799,4.607026365860288,4.6106958412612125,0.4029783393501805,0.21705975190642654,1.0718916162866925
mistralai/Mistral-7B-v0.3,Mistral-7B-v0.3,32768,en,1.4761499952772268,4.413487189031578,4.41714746572368,0.7305185604987249,0.22657820384869484,1.0
mistralai/Mistral-7B-v0.3,Mistral-7B-v0.3,32768,zh,19.502232142857142,1.081621175764847,2.6192449010197962,0.3601190476190476,0.9245381122395924,3.3093864383646627
mistralai/Mistral-7B-v0.3,Mistral-7B-v0.3,32768,ja,66.84190902311708,0.9182080828877893,2.6442289598069495,0.14988814317673377,1.0890777576853525,5.604504001488926
mistralai/Mistral-7B-v0.3,Mistral-7B-v0.3,32768,ar,5.385877421220005,1.1438324199634653,2.0693894422443564,0.004553339115351257,0.8742539401286953,4.652707984366276
mistralai/Mistral-7B-v0.3,Mistral-7B-v0.3,32768,hi,5.567007460624482,0.9782084706576811,2.4865955039598604,0.02275029934604403,1.0222769787790404,3.7835473664619395
mistralai/Mistral-7B-v0.3,Mistral-7B-v0.3,32768,de,2.2011534428521498,3.0751255898919165,3.132021616684427,0.46006641034603285,0.32518997054528354,1.6301259383336435
mistralai/Mistral-7B-v0.3,Mistral-7B-v0.3,32768,tr,3.7780766644250168,2.0105302449853637,2.2188169191175025,0.08921766420085182,0.4973812269147335,3.157826167876419
mistralai/Mistral-7B-v0.3,Mistral-7B-v0.3,32768,ko,4.862642740619902,0.9264907329471374,2.1574491261078377,0.010195758564437194,1.0793416107023888,3.7589800856132514
mistralai/Mistral-7B-v0.3,Mistral-7B-v0.3,32768,th,28.45250140528387,1.003809972701742,2.876058052986115,0.03653738055087127,0.9962044880950052,3.1589428624604503
mistralai/Mistral-7B-v0.3,Mistral-7B-v0.3,32768,ru,2.926711129326726,2.4003750811473634,4.340157726431199,0.25585901114050447,0.41660155858725484,5.160493827160494
mistralai/Mistral-7B-v0.3,Mistral-7B-v0.3,32768,fr,1.9949561985664985,3.2811718699916663,3.4009872427719725,0.5124767719670825,0.30476916163569934,0.9677399342390968
mistralai/Mistral-7B-v0.3,Mistral-7B-v0.3,32768,es,1.923333692257995,3.1292794261493317,3.1899250081512878,0.5181436416496178,0.3195623860380307,1.1416340964079656
mistralai/Mistral-7B-v0.3,Mistral-7B-v0.3,32768,pt,2.0859342197340798,3.035284077854728,3.1320116847736896,0.44457662701189643,0.3294584540853843,1.8901296606489237
mistralai/Mistral-7B-v0.3,Mistral-7B-v0.3,32768,vi,2.808254583636217,1.6585145948382733,2.1419193057590444,0.09651885954284792,0.6029491709703724,2.2018735653576527
mistralai/Mistral-7B-v0.3,Mistral-7B-v0.3,32768,id,2.8918095667870034,2.5956966193192694,2.5977640797886594,0.09995487364620939,0.3852530347950499,1.6203858800173707
mistralai/Mistral-Nemo-Base-2407,Mistral-Nemo-12B,131072,en,1.6691225087371304,4.966906374362913,4.971025623123647,0.5870407103050912,0.20133256490631282,1.0
mistralai/Mistral-Nemo-Base-2407,Mistral-Nemo-12B,131072,zh,15.533854166666666,1.3681589680356634,3.313122450915299,0.33779761904761907,0.7309092169572602,2.9443552328422817
mistralai/Mistral-Nemo-Base-2407,Mistral-Nemo-12B,131072,ja,46.60253542132737,1.3151010701545778,3.7871898533491875,0.1610738255033557,0.7603978300180831,4.403756196327585
mistralai/Mistral-Nemo-Base-2407,Mistral-Nemo-12B,131072,ar,2.370265972824516,3.4476328269431717,6.237360340808617,0.24371205550737207,0.29005408934066956,1.7372058926202611
mistralai/Mistral-Nemo-Base-2407,Mistral-Nemo-12B,131072,hi,2.615271253569126,2.5485069844931436,6.4782775855440216,0.25679285253753337,0.3923866036407523,1.6343643091531104
mistralai/Mistral-Nemo-Base-2407,Mistral-Nemo-12B,131072,de,2.126529185599441,3.986481819527357,4.060239775025901,0.39365606431317723,0.2508477512932848,1.4151364937513091
mistralai/Mistral-Nemo-Base-2407,Mistral-Nemo-12B,131072,tr,2.8214899499364865,3.180272848752292,3.5097423785698747,0.14966748860494658,0.31443842951787215,2.2466662012148295
mistralai/Mistral-Nemo-Base-2407,Mistral-Nemo-12B,131072,ko,2.990619902120718,1.6999878868633032,3.958633638180607,0.10464926590538336,0.5882394855442934,2.3055225860504085
mistralai/Mistral-Nemo-Base-2407,Mistral-Nemo-12B,131072,th,14.497470489038786,1.9480524430215718,5.5814467566125465,0.11691961776278809,0.5133332029033709,1.8318787963415486
mistralai/Mistral-Nemo-Base-2407,Mistral-Nemo-12B,131072,ru,2.8306568799135587,3.079395434916718,5.56790561381863,0.2049256678713812,0.3247390668509726,4.526984570271591
mistralai/Mistral-Nemo-Base-2407,Mistral-Nemo-12B,131072,fr,1.9632333421821078,4.314143627781524,4.47167902899528,0.4405362357313512,0.23179571342047164,0.8283180897856595
mistralai/Mistral-Nemo-Base-2407,Mistral-Nemo-12B,131072,es,1.9147195003768709,4.038785243372142,4.117057090756067,0.4654893937762464,0.24759920118086307,0.9954618445856315
mistralai/Mistral-Nemo-Base-2407,Mistral-Nemo-12B,131072,pt,2.054933519944017,3.9870656204190738,4.114124342502372,0.396850944716585,0.2508110212379428,1.6193534873978914
mistralai/Mistral-Nemo-Base-2407,Mistral-Nemo-12B,131072,vi,2.1305225749131735,3.396065308948249,4.385911267524375,0.11404571520878766,0.29445841261212286,1.2101515045730642
mistralai/Mistral-Nemo-Base-2407,Mistral-Nemo-12B,131072,id,2.394291516245487,4.000531067445565,4.003717472118959,0.18400270758122744,0.24996681269082702,1.183201843189276
microsoft/Phi-3-mini-4k-instruct,Phi-3-mini,32011,en,1.524416737508265,4.274529832361954,4.278074866310161,0.701898554831397,0.23394385797219605,1.0
microsoft/Phi-3-mini-4k-instruct,Phi-3-mini,32011,zh,24.133928571428573,0.8770292454550982,2.1238067732717214,0.35788690476190477,1.1402128323338765,3.9528931082136634
microsoft/Phi-3-mini-4k-instruct,Phi-3-mini,32011,ja,70.79120059656972,0.8673693456302152,2.4978250413033023,0.15137956748695003,1.1529113924050634,5.746199603436881
microsoft/Phi-3-mini-4k-instruct,Phi-3-mini,32011,ar,5.4797629372651055,1.12468206728374,2.034743162807772,0.004553339115351257,0.8891401659983214,4.582947785855915
microsoft/Phi-3-mini-4k-instruct,Phi-3-mini,32011,hi,5.729206963249516,0.9507402508406508,2.4167715820172435,0.02321083172147002,1.0518119950383855,3.770293817220453
microsoft/Phi-3-mini-4k-instruct,Phi-3-mini,32011,de,2.0613421880461376,3.267896141713176,3.328358812585942,0.49685424676686474,0.30600727704759784,1.4856696509042842
microsoft/Phi-3-mini-4k-instruct,Phi-3-mini,32011,tr,3.7051483224986925,2.049670532155661,2.262012057121112,0.11208249271463798,0.4878832887099611,3.0
microsoft/Phi-3-mini-4k-instruct,Phi-3-mini,32011,ko,6.385154975530179,0.7082907503438182,1.6493432756728112,0.01035889070146819,1.411849582271942,4.762182298864388
microsoft/Phi-3-mini-4k-instruct,Phi-3-mini,32011,th,30.310286677908937,0.9426442653486528,2.700809619534146,0.03316469926925239,1.060845577446051,3.2580063690440424
microsoft/Phi-3-mini-4k-instruct,Phi-3-mini,32011,ru,2.663921904690935,2.6174296051596664,4.732617586912065,0.29118074443906256,0.38205420998858103,4.583548639067476
microsoft/Phi-3-mini-4k-instruct,Phi-3-mini,32011,fr,1.8948765595964958,3.442030934767989,3.567720242098184,0.55110167241837,0.29052615126116094,0.8934687255903383
microsoft/Phi-3-mini-4k-instruct,Phi-3-mini,32011,es,1.840099063206633,3.2622365737593473,3.3254588715159756,0.5545386023473673,0.3065381609794217,1.060626089046446
microsoft/Phi-3-mini-4k-instruct,Phi-3-mini,32011,pt,1.9680895731280617,3.2120875303924974,3.3144494616186178,0.49223233030090974,0.3113240192049829,1.7298563960824371
microsoft/Phi-3-mini-4k-instruct,Phi-3-mini,32011,vi,2.9002503836523705,1.606857205252095,2.075205415881855,0.09845731362571683,0.6223328350095134,2.201105569909271
microsoft/Phi-3-mini-4k-instruct,Phi-3-mini,32011,id,2.8564981949458486,2.626772568771794,2.6288647810925996,0.10333935018050541,0.38069531100196174,1.5508021390374331
microsoft/phi-4,Phi-4,100352,en,1.554642486067819,5.140988582165053,5.145252204075733,0.6356852743931236,0.19451511786452258,1.0
microsoft/phi-4,Phi-4,100352,zh,21.0,1.0156846867463516,2.4595736440931577,0.3515625,0.9845575236576658,4.105145252204076
microsoft/phi-4,Phi-4,100352,ja,66.16181953765846,0.9287353747970666,2.6745451491910655,0.15883668903803133,1.0767329716696805,6.454328660211013
microsoft/phi-4,Phi-4,100352,ar,4.383347788378144,1.4533256531020229,2.6293158946904756,0.011780861520670713,0.6880770306817122,4.265500794912559
microsoft/phi-4,Phi-4,100352,hi,5.18780510269872,1.02640951086489,2.609122034306557,0.028737220226581928,0.9742700056991518,4.2002457002457
microsoft/phi-4,Phi-4,100352,de,2.2812827682628454,3.5047495120364345,3.5695944480589894,0.3341488989863684,0.28532709586396376,1.6660644601821073
